ISO3,total_hours_worked,labor_productivity_person_growth,labor_productivity_hour_growth,total_factor_productivity_growth
BHR,NA,0.75,NA,-1.09
BHR,NA,-0.32,NA,-0.88
BHR,NA,1.79,NA,0.51
BHR,NA,0.89,NA,-1.11
BHR,NA,3.64,NA,1.53
BHR,NA,-3.02,NA,2.53
BHR,NA,2.86,NA,2.81
BHR,NA,-3.41,NA,-0.74
BHR,NA,-4.94,NA,-2.28
BHR,NA,-3.36,NA,-0.27
BHR,NA,-3.36,NA,1.26
BHR,868.27,-6.08,NA,-0.94
BHR,956.06,-2.74,-3.31,-1.84
BHR,1061.73,-2.24,-2.48,-3.13
BHR,1168.58,-3.43,-3.47,-6.08
BHR,1281.5,-7.57,-6.49,-4.0
BHR,1281.99,4.76,4.3,-1.78
BHR,1268.45,2.57,3.02,-2.18
BHR,1319.23,-0.98,-0.19,-1.53
BHR,1398.17,-0.93,-0.65,-1.33
BHR,1422.32,2.39,2.54,-2.13
BHR,1498.54,-3.07,-2.71,-2.44
BHR,1611.66,-3.24,-3.47,-2.07
BHR,1611.98,4.95,4.93,-0.56
BHR,1610.33,2.28,2.16,-3.67
BHR,1579.63,3.74,4.04,-2.46
BHR,1484.07,-2.34,0.15,-9.08
BHR,1422.04,9.82,8.9,1.49
BHR,1501.25,-0.17,0.39,0.42
BHR,1577.3,-2.36,-1.98,-2.71
BHR,1617.83,0.47,0.46,-2.11
BHR,1657.5,0.67,0.68,-2.13
BGD,89129.73,2.8,3.2,1.09
BGD,89972.05,2.88,3.21,1.56
BGD,93279.62,0.7,1.09,0.73
BGD,96683.93,0.29,0.66,0.01
BGD,100127.37,0.58,0.91,-0.14
BGD,101376.65,3.18,3.48,1.08
BGD,103885.34,1.77,2.03,-0.15
BGD,106504.43,1.63,2.25,-0.53
BGD,109073.76,1.82,2.45,-0.77
BGD,111497.37,2.06,2.7,-0.29
BGD,113680.64,2.52,3.17,-0.42
BGD,119415.72,-0.63,-0.56,-2.5
BGD,122449.44,1.54,1.7,-1.27
BGD,125067.75,2.53,2.79,-0.52
BGD,126795.34,4.83,4.44,0.83
BGD,128050.49,5.97,5.56,1.22
BGD,127540.84,7.4,7.29,1.92
BGD,132003.56,3.05,2.93,0.15
BGD,135970.77,2.59,2.45,-0.54
BGD,139595.4,2.73,2.57,-0.78
BGD,142753.17,3.79,3.67,0.07
BGD,144871.66,5.14,4.94,0.22
BGD,148196.55,4.14,3.88,-0.39
BGD,151136.37,4.28,3.97,-0.5
BGD,152944.0,5.92,5.05,0.79
BGD,154948.3,6.38,5.45,1.28
BGD,157219.93,6.25,5.31,0.76
BGD,161477.15,4.99,4.13,0.15
BGD,162657.79,6.31,6.82,1.78
BGD,163778.56,4.44,4.92,-0.73
BGD,158421.33,4.02,8.74,0.21
BGD,169143.05,3.45,0.24,-0.91
BGD,174151.2,2.93,3.37,-0.27
BGD,177636.25,3.79,3.52,-1.16
BGD,180738.39,3.13,3.15,-0.96
BGD,183669.67,4.38,4.39,-0.07
BLR,NA,-0.58,NA,NA
BLR,NA,1.11,NA,1.16
BLR,NA,-8.84,NA,-6.62
BLR,NA,-5.26,NA,-4.26
BLR,NA,-8.75,NA,-9.1
BLR,NA,-5.22,NA,-7.4
BLR,NA,3.84,NA,3.94
BLR,NA,11.31,NA,10.83
BLR,NA,7.29,NA,2.9
BLR,NA,2.77,NA,-0.31
BLR,NA,3.69,NA,3.64
BLR,NA,2.83,NA,3.62
BLR,NA,3.48,NA,3.98
BLR,NA,5.7,NA,4.97
BLR,NA,10.15,NA,8.37
BLR,8400.45,8.34,NA,6.22
BLR,8475.37,8.62,9.03,5.14
BLR,8532.66,7.48,7.91,3.78
BLR,8677.22,8.03,8.4,3.76
BLR,8689.57,-0.55,0.03,-3.91
BLR,8765.35,6.45,6.87,2.66
BLR,8704.54,5.55,6.03,0.43
BLR,8513.98,3.37,3.9,-0.59
BLR,8407.04,1.7,2.25,-1.22
BLR,8311.92,2.32,2.85,0.16
BLR,8158.01,-2.67,-2.02,-4.02
BLR,7959.26,-0.54,-0.1,-2.47
BLR,7948.19,3.76,2.68,1.51
BLR,7996.11,3.51,2.52,1.53
BLR,8008.17,1.58,1.29,-0.27
BLR,7838.73,-0.29,1.47,-0.62
BLR,7895.97,3.41,1.7,1.2
BLR,7809.08,-3.3,-3.64,-4.33
BLR,7787.49,5.43,4.22,3.38
BLR,7726.68,4.38,4.39,3.09
BLR,7654.12,3.46,3.47,2.05
BEL,6456.38,1.93,1.06,-0.6
BEL,6332.31,1.49,3.83,1.15
BEL,6234.29,1.66,3.13,0.67
BEL,6023.8,-0.32,2.5,-0.06
BEL,5998.24,3.66,3.67,2.21
BEL,6106.06,0.93,0.58,-0.36
BEL,6107.8,1.05,1.29,-0.41
BEL,6177.49,3.09,2.62,0.97
BEL,6255.64,0.2,0.69,-1.07
BEL,6346.74,2.13,2.06,0.26
BEL,6530.74,1.67,0.79,-0.3
BEL,6587.46,-0.27,0.23,-1.57
BEL,6654.27,1.48,0.69,-0.56
BEL,6667.13,1.13,0.84,-0.57
BEL,6689.1,2.56,3.23,1.74
BEL,6741.73,0.88,1.52,-0.17
BEL,6878.1,1.41,0.52,-0.5
BEL,7001.58,1.98,1.85,0.44
BEL,7076.33,-1.31,-0.61,-2.25
BEL,6985.09,-1.78,-0.63,-2.63
BEL,7096.82,2.0,1.09,0.47
BEL,7259.38,0.69,-0.35,-0.81
BEL,7267.01,-0.03,0.11,-1.21
BEL,7245.65,0.54,0.6,-0.7
BEL,7255.53,1.4,1.63,0.33
BEL,7289.55,0.63,1.0,-0.11
BEL,7381.23,-0.06,-0.06,-0.95
BEL,7501.74,-0.02,-0.16,-0.79
BEL,7626.98,0.4,0.21,-0.38
BEL,7747.01,0.85,0.86,0.04
BEL,7112.7,-4.69,3.7,-1.43
BEL,7688.72,4.44,-1.75,0.64
BEL,8033.86,2.26,-0.24,0.52
BEL,8113.66,0.46,0.26,-0.12
BEL,8150.62,0.72,0.54,-0.25
BEL,8205.96,0.24,0.02,-0.85
BOL,NA,-1.18,NA,1.91
BOL,NA,0.2,NA,1.43
BOL,NA,-1.69,NA,-2.15
BOL,NA,2.69,NA,0.75
BOL,NA,-0.08,NA,1.49
BOL,NA,2.6,NA,1.54
BOL,NA,2.34,NA,0.55
BOL,NA,4.0,NA,-0.71
BOL,NA,4.04,NA,-2.14
BOL,NA,-1.04,NA,-4.28
BOL,NA,0.29,NA,-1.07
BOL,NA,0.51,NA,0.54
BOL,NA,1.24,NA,1.02
BOL,NA,3.79,NA,1.24
BOL,NA,-2.03,NA,1.04
BOL,8853.31,2.1,NA,1.85
BOL,9077.83,1.36,2.21,1.47
BOL,9299.97,3.28,2.07,0.9
BOL,9610.74,2.98,2.72,1.55
BOL,9649.3,3.37,2.94,-1.0
BOL,9752.85,2.26,3.02,-0.12
BOL,9998.25,2.14,2.62,-1.37
BOL,10322.81,1.97,1.82,-1.16
BOL,10485.65,4.71,5.14,0.31
BOL,11039.43,2.19,0.17,-0.78
BOL,11209.56,3.56,3.27,-1.59
BOL,11494.27,1.77,1.68,-1.45
BOL,11290.52,1.84,6.08,-1.59
BOL,11227.87,1.7,4.81,-0.9
BOL,11737.78,-2.72,-2.22,-2.69
BOL,10164.28,-4.44,5.39,-6.1
BOL,12090.01,-4.85,-10.79,-0.11
BOL,12416.67,-0.26,0.88,0.67
BOL,12676.74,0.49,0.97,0.17
BOL,12962.95,-0.65,-0.64,-0.32
BOL,13276.95,-0.22,-0.22,0.23
BIH,NA,-0.06,NA,NA
BIH,NA,43.91,NA,13.88
BIH,NA,89.57,NA,20.25
BIH,NA,54.41,NA,7.73
