ISO3,total_hours_worked,labor_productivity_person_growth,labor_productivity_hour_growth,total_factor_productivity_growth
EGY,66075.04,1.42,-4.37,-3.5
EGY,68493.59,-0.42,-0.43,-0.01
EGY,70784.31,0.03,0.03,0.23
EGY,71777.56,3.05,3.05,2.57
EST,NA,-4.57,NA,NA
EST,NA,-7.37,NA,-6.32
EST,NA,-8.66,NA,-5.5
EST,NA,-0.6,NA,1.28
EST,NA,1.77,NA,3.05
EST,1229.23,13.56,NA,10.83
EST,1199.55,7.47,7.54,6.07
EST,1190.84,13.0,13.88,11.11
EST,1192.11,6.33,4.23,7.22
EST,1117.92,4.23,6.18,1.78
EST,1102.44,9.15,11.63,8.56
EST,1104.52,5.29,5.68,3.68
EST,1105.56,6.95,6.83,3.61
EST,1132.46,5.34,5.04,2.67
EST,1132.57,7.23,6.79,2.5
EST,1171.08,7.09,5.92,3.34
EST,1223.75,4.65,5.04,2.51
EST,1224.5,7.37,7.51,2.67
EST,1203.24,-4.93,-3.45,-6.83
EST,1006.03,-4.93,2.11,-7.16
EST,978.52,7.78,5.33,3.57
EST,1067.17,0.99,-1.33,1.18
EST,1065.78,2.01,3.81,1.03
EST,1067.71,0.5,1.57,-0.36
EST,1072.19,2.54,2.89,1.36
EST,1098.36,-1.01,-0.59,-0.95
EST,1103.67,2.8,2.6,1.38
EST,1134.26,2.87,2.79,2.13
EST,1105.24,2.76,6.42,2.75
EST,1110.85,2.42,3.2,0.9
EST,1044.34,-0.18,3.3,-3.01
EST,1038.26,7.01,7.78,4.52
EST,1070.08,-4.33,-2.91,-2.49
EST,1107.19,-6.04,-6.27,-6.29
EST,1113.08,-0.46,-0.79,-1.51
EST,1117.65,1.7,1.1,0.28
ETH,NA,-1.56,NA,NA
ETH,NA,-5.43,NA,NA
ETH,NA,-10.38,NA,-9.89
ETH,NA,1.61,NA,1.03
ETH,NA,4.52,NA,4.56
ETH,NA,1.27,NA,2.16
ETH,NA,5.88,NA,5.98
ETH,NA,4.83,NA,4.93
ETH,NA,-2.77,NA,-3.56
ETH,NA,-2.39,NA,-2.82
ETH,NA,2.21,NA,1.2
ETH,NA,4.66,NA,2.7
ETH,NA,2.5,NA,0.96
ETH,NA,-2.66,NA,-3.79
ETH,NA,2.88,NA,0.29
ETH,47043.75,8.59,NA,6.51
ETH,48859.78,2.51,1.87,-0.02
ETH,51252.48,6.46,5.78,4.41
ETH,53612.39,10.74,9.97,7.23
ETH,56058.85,4.9,4.19,-0.24
ETH,58685.51,5.65,4.9,0.9
ETH,61923.64,6.89,6.14,0.84
ETH,65409.01,5.68,4.95,-2.92
ETH,68927.38,5.39,4.65,-1.98
ETH,71544.73,6.66,6.58,-1.1
ETH,74042.97,7.04,6.94,-0.87
ETH,76770.96,6.72,6.64,0.05
ETH,79513.95,6.13,6.03,-0.03
ETH,82397.67,4.39,4.31,0.04
ETH,83400.93,6.42,6.31,1.56
ETH,76791.57,8.05,16.43,6.56
ETH,83269.97,4.01,-2.35,-2.03
ETH,88694.94,1.87,-0.97,-0.81
ETH,91375.56,3.9,3.66,2.32
ETH,94099.06,4.95,4.97,1.86
ETH,96866.53,3.65,3.67,-0.89
FIN,4129.35,1.03,2.41,-0.38
FIN,3857.55,-0.36,0.75,-3.14
FIN,3598.25,3.6,3.66,0.04
FIN,3390.4,5.27,5.3,2.07
FIN,3375.86,5.7,4.41,4.02
FIN,3456.0,2.15,1.82,2.01
FIN,3511.43,1.94,2.03,1.74
FIN,3621.89,2.9,3.15,3.16
FIN,3672.18,3.39,4.01,2.92
FIN,3747.08,2.28,2.3,1.53
FIN,3798.93,3.62,4.31,3.16
FIN,3824.41,1.07,1.96,0.29
FIN,3854.74,0.44,0.89,-0.24
FIN,3849.89,1.77,2.14,0.66
FIN,3873.15,3.46,3.38,1.85
FIN,3907.36,1.23,1.88,0.63
FIN,3968.21,2.1,2.42,1.65
FIN,4046.89,3.03,3.27,2.18
FIN,4126.64,-1.42,-1.16,-2.03
FIN,3970.24,-5.68,-4.46,-7.77
FIN,3954.84,3.95,3.57,2.12
FIN,3994.47,0.86,1.37,0.57
FIN,3989.14,-2.12,-1.39,-2.53
FIN,3938.36,-0.18,0.3,-1.27
FIN,3906.77,0.07,0.33,-1.0
FIN,3915.2,0.15,0.25,-0.45
FIN,3936.43,2.0,2.02,1.32
FIN,3944.37,2.68,3.1,1.94
FIN,4042.34,-1.37,-1.26,-1.34
FIN,4074.8,-0.12,0.54,-0.34
FIN,3959.49,-0.15,0.35,-2.34
FIN,4045.44,0.36,0.49,1.56
FIN,4148.63,-2.66,-1.74,-1.47
FIN,4140.88,-1.79,-0.76,-1.56
FIN,4150.28,0.45,-0.36,-0.94
FIN,4155.93,0.57,1.07,0.24
FRA,38363.51,1.89,2.12,0.37
FRA,38281.71,0.98,1.45,-0.36
FRA,37969.33,2.12,2.35,0.09
FRA,37397.79,0.62,1.16,-0.92
FRA,37544.92,1.82,1.98,0.69
FRA,37443.14,1.27,2.58,1.05
FRA,37569.07,0.8,1.06,-0.18
FRA,37836.25,1.73,1.8,0.53
FRA,38282.8,1.66,2.25,0.93
FRA,39107.3,0.94,1.22,0.05
FRA,39617.7,1.58,2.8,1.42
FRA,39691.25,0.46,1.71,0.08
FRA,39012.78,0.57,2.83,0.55
FRA,39121.54,0.93,0.69,-0.74
FRA,39800.79,2.73,1.11,0.46
FRA,40110.46,1.19,1.1,-0.34
FRA,40142.84,1.6,2.63,1.17
FRA,41320.2,1.07,-0.39,-0.76
FRA,41711.1,-0.13,-0.56,-1.82
FRA,40922.26,-1.72,-0.95,-3.03
FRA,41177.45,1.9,1.37,0.55
FRA,41649.17,1.65,1.28,0.58
FRA,41639.91,-0.17,0.21,-1.06
FRA,41306.93,0.59,1.59,0.04
FRA,41292.76,0.46,1.03,-0.04
FRA,41400.75,0.81,0.8,-0.06
FRA,41784.94,0.14,-0.07,-0.67
FRA,41847.29,0.89,1.93,1.0
FRA,42482.17,0.64,0.13,-0.47
FRA,43118.59,0.84,0.52,-0.12
FRA,39840.95,-7.39,0.17,-4.3
FRA,43169.83,4.16,-1.36,0.89
FRA,44910.95,0.16,-1.41,-0.92
FRA,45243.55,-0.13,0.19,-0.63
FRA,45657.36,0.59,0.25,-0.37
FRA,45920.72,0.32,-0.08,-0.68
GAB,NA,4.24,NA,6.65
GAB,NA,4.19,NA,6.19
GAB,NA,-5.37,NA,-2.52
GAB,NA,1.35,NA,4.13
GAB,NA,1.06,NA,3.81
GAB,NA,1.8,NA,5.06
GAB,NA,0.78,NA,2.85
GAB,NA,2.76,NA,3.59
GAB,NA,0.61,NA,0.72
GAB,NA,-11.62,NA,-9.67
GAB,NA,-4.71,NA,-2.14
GAB,NA,-1.0,NA,1.57
GAB,NA,-3.57,NA,-0.97
GAB,NA,-1.89,NA,1.45
GAB,NA,-2.41,NA,1.13
GAB,778.94,-4.51,NA,-1.07
GAB,802.72,-4.82,-4.81,-2.55
GAB,826.75,2.95,3.24,5.18
GAB,854.98,-1.53,-1.63,-0.02
GAB,876.31,-5.81,-4.66,-3.82
GAB,909.86,2.74,2.35,2.64
GAB,952.76,2.03,2.27,2.73
GAB,994.62,0.46,0.82,0.43
GAB,1036.48,1.15,1.26,1.45
GAB,1078.76,0.36,0.34,-0.38
GAB,1121.61,0.11,-0.09,0.59
GAB,1162.77,-1.19,-1.52,-0.85
GAB,1204.89,-2.46,-3.04,-1.72
GAB,1247.91,-1.81,-2.57,-5.36
GAB,1279.69,1.07,1.27,-3.63
GAB,1174.91,3.89,6.92,-5.4
GAB,1244.36,-2.24,-4.2,-4.4
GAB,1369.51,-5.72,-6.38,-3.54
GAB,1399.28,0.01,0.27,-3.22
GAB,1432.78,0.74,0.74,-1.45
GAB,1464.96,0.37,0.38,-1.44
GEO,NA,-14.11,NA,-15.34
GEO,NA,-13.44,NA,-15.95
GEO,NA,-30.1,NA,-39.12
GEO,NA,-21.79,NA,-23.07
GEO,NA,-8.13,NA,-5.78
GEO,NA,3.8,NA,6.09
GEO,NA,7.68,NA,9.57
GEO,NA,10.09,NA,10.53
GEO,NA,9.98,NA,7.8
GEO,NA,2.78,NA,2.55
GEO,NA,-3.9,NA,-1.8
GEO,NA,2.48,NA,3.2
GEO,NA,13.07,NA,9.76
GEO,NA,8.87,NA,9.4
GEO,NA,9.4,NA,5.92
GEO,2257.58,12.71,NA,8.64
GEO,2160.8,13.82,14.32,8.84
GEO,2113.58,15.51,15.09,10.45
GEO,2135.36,1.14,1.37,0.9
GEO,2147.98,-4.49,-4.22,-3.19
GEO,2172.39,5.58,5.74,5.93
GEO,2197.06,6.58,6.74,6.62
GEO,2241.94,4.03,4.45,4.53
GEO,2208.64,6.36,6.72,5.31
GEO,2307.91,-0.64,-0.39,0.68
GEO,2395.16,-0.84,-0.41,-0.54
GEO,2375.17,4.49,4.32,1.68
GEO,2366.53,5.81,5.54,3.96
GEO,2533.12,5.33,-0.91,1.28
GEO,2546.04,5.3,4.85,3.92
GEO,2261.95,-2.14,5.48,-1.19
GEO,2333.51,12.92,7.25,8.06
GEO,2453.73,6.56,5.52,7.53
GEO,2465.91,6.68,6.94,6.16
GEO,2471.31,7.3,7.32,6.63
GEO,2473.59,5.88,5.9,5.1
DEU,62849.23,-2.62,-1.21,-3.31
DEU,60389.17,7.28,9.29,5.46
DEU,60031.65,3.37,2.62,0.74
DEU,58262.37,0.33,2.03,-0.36
DEU,58119.03,2.55,2.85,1.51
DEU,58168.38,1.07,1.42,0.38
DEU,57682.82,1.0,1.89,0.5
DEU,57301.71,1.9,2.53,1.05
DEU,57865.88,0.89,1.1,-0.69
DEU,58306.74,0.5,1.36,0.32
DEU,58546.23,0.69,2.46,1.44
DEU,58097.39,1.92,2.42,0.85
DEU,57461.35,0.25,0.88,-0.97
DEU,56634.57,0.55,0.92,-1.39
DEU,56797.16,0.84,0.87,-0.31
DEU,56304.91,1.01,1.77,0.93
DEU,57527.47,3.11,1.65,1.72
DEU,58562.79,1.17,1.07,0.27
DEU,59107.02,-0.5,-0.02,-1.43
DEU,57541.12,-5.67,-2.97,-5.13
DEU,58581.22,3.65,2.3,2.03
DEU,59328.0,2.58,2.45,1.67
DEU,59143.21,-0.71,0.79,-0.32
DEU,59148.41,-0.36,0.38,-0.33
DEU,59858.67,1.27,0.96,1.22
DEU,60460.4,0.75,0.64,0.1
DEU,60978.25,1.01,1.43,0.87
DEU,61483.91,1.32,1.87,1.35
DEU,61964.17,-0.21,0.33,-0.32
DEU,62141.26,0.07,0.7,-0.32
DEU,59065.85,-3.4,0.9,-1.91
DEU,60455.66,3.47,1.29,1.33
DEU,61210.86,-0.01,0.12,0.34
DEU,61437.34,-0.99,-0.63,-1.33
DEU,61371.7,-0.39,-0.13,-0.94
DEU,61400.87,-0.14,-0.05,-0.58
GHA,NA,2.05,NA,0.61
GHA,NA,7.51,NA,3.26
GHA,NA,3.28,NA,2.9
GHA,NA,3.36,NA,3.76
GHA,NA,2.07,NA,1.91
GHA,NA,2.61,NA,2.89
GHA,NA,2.77,NA,0.67
GHA,NA,2.92,NA,1.52
GHA,NA,3.09,NA,1.77
GHA,NA,2.48,NA,3.31
GHA,NA,2.86,NA,-2.66
GHA,NA,2.54,NA,-0.98
GHA,NA,1.36,NA,2.77
GHA,NA,1.51,NA,0.47
GHA,NA,1.47,NA,-1.53
GHA,14663.7,1.37,NA,-0.14
GHA,15324.7,1.29,1.25,-1.36
GHA,15752.07,1.01,1.25,0.72
GHA,16399.34,4.5,4.71,2.78
GHA,16777.0,3.05,3.3,2.95
GHA,17805.96,1.33,1.54,2.58
GHA,19197.0,5.62,5.69,6.69
GHA,20011.65,3.91,4.01,1.1
GHA,20844.13,2.9,2.96,3.23
GHA,20511.65,4.44,4.52,1.62
GHA,20039.52,4.51,4.53,1.49
GHA,20508.49,0.44,1.01,-0.23
GHA,21758.73,1.51,1.92,2.65
GHA,22121.43,3.87,4.46,2.44
GHA,22282.74,5.13,5.74,3.97
GHA,21657.01,0.28,3.42,0.04
GHA,22412.86,3.22,1.53,1.09
GHA,22762.07,2.0,2.23,1.02
GHA,23358.22,0.45,0.32,0.54
GHA,23800.38,1.19,1.21,0.68
GHA,24277.89,2.73,2.75,2.39
GRC,8141.99,-1.27,-0.18,-2.07
GRC,8117.68,4.95,3.41,1.1
GRC,8343.63,-0.73,-2.03,-2.97
GRC,8495.1,-2.41,-3.35,-4.63
GRC,8514.02,0.13,1.77,0.24
GRC,8516.95,1.19,2.06,0.33
GRC,8465.75,1.88,2.0,-0.26
GRC,8428.3,3.89,4.06,1.27
GRC,8790.12,-0.84,-0.82,-2.49
GRC,8787.71,2.44,2.69,-0.22
GRC,8815.08,3.75,3.81,1.04
GRC,8801.23,4.41,4.82,2.69
GRC,8972.44,2.17,2.69,1.54
GRC,9066.4,4.61,4.7,3.0
GRC,9228.3,2.73,3.53,1.22
GRC,9546.79,0.2,-2.19,-2.14
GRC,9660.28,4.4,5.19,3.59
GRC,9735.99,2.13,2.7,0.71
GRC,9798.01,-1.18,-0.58,-2.29
GRC,9620.04,-3.5,-2.35,-4.06
GRC,9088.49,-3.1,-0.18,-3.21
GRC,8786.01,-5.85,-6.77,-8.71
GRC,8608.1,-4.53,-6.44,-7.46
GRC,8586.73,-1.7,-2.03,-1.96
GRC,8681.8,-2.67,-0.31,0.65
GRC,8364.11,2.8,3.56,2.24
GRC,8683.04,-3.32,-3.7,-2.23
GRC,8657.31,2.0,1.77,1.63
GRC,9119.69,-2.41,-3.11,-1.04
GRC,9112.32,0.09,2.36,2.16
GRC,8034.69,-6.8,2.98,-2.41
GRC,9019.77,3.39,-3.21,0.36
GRC,9377.95,3.24,1.7,2.44
GRC,9548.68,1.11,0.5,0.99
GRC,9691.72,1.04,0.76,0.64
GRC,9799.21,1.41,1.2,0.84
GTM,NA,0.64,NA,0.58
GTM,NA,0.17,NA,-0.2
GTM,NA,1.43,NA,0.58
GTM,NA,0.28,NA,-1.29
GTM,NA,0.44,NA,-0.15
GTM,NA,1.32,NA,0.02
GTM,NA,-0.06,NA,-0.52
GTM,NA,1.0,NA,-1.23
GTM,NA,1.37,NA,-1.43
GTM,NA,0.54,NA,-2.44
GTM,NA,-0.33,NA,-2.45
GTM,NA,0.52,NA,-1.31
GTM,NA,0.87,NA,-0.92
GTM,NA,-0.33,NA,-1.75
GTM,NA,0.22,NA,-1.21
GTM,9888.39,1.03,NA,-0.46
GTM,10165.25,2.86,2.48,0.6
GTM,10339.62,3.78,4.54,2.35
GTM,10556.41,1.01,1.17,-0.04
GTM,10709.54,-1.41,-0.96,-1.53
GTM,10882.94,0.91,1.24,0.84
GTM,11367.23,-0.78,-0.27,0.28
GTM,12419.62,-6.12,-5.75,-3.25
GTM,11995.7,8.06,7.36,2.97
GTM,12741.85,-1.02,-1.67,-2.85
GTM,13477.36,0.37,-1.59,1.18
GTM,14209.25,-1.75,-2.61,-1.14
GTM,14572.89,-1.78,0.51,0.39
GTM,14637.72,2.98,2.95,2.31
GTM,15418.48,0.15,-1.25,-1.45
GTM,14709.33,0.59,2.95,-0.45
GTM,15573.5,3.03,2.04,3.29
GTM,16203.56,-1.16,0.15,-0.56
GTM,17411.65,0.4,-3.66,-2.21
GTM,17830.98,1.03,1.04,0.02
GTM,18238.16,1.28,1.29,0.12
HKG,6422.01,3.88,5.5,-1.88
HKG,6600.11,4.27,2.85,-0.12
HKG,6333.76,6.59,10.7,1.22
HKG,6635.32,4.28,1.37,-0.64
HKG,6835.25,3.11,2.93,-1.37
HKG,6804.92,1.17,2.83,-3.57
HKG,7299.93,-0.68,-2.81,-4.17
HKG,7406.62,1.5,3.59,-2.87
HKG,7351.14,-5.12,-5.17,-10.9
HKG,7445.58,3.12,1.21,-0.85
HKG,7739.3,4.87,3.58,2.79
HKG,7870.6,-1.3,-1.12,-3.15
HKG,7845.87,2.73,1.98,-0.8
HKG,7745.54,3.83,4.39,0.72
HKG,8000.73,6.29,5.23,4.79
HKG,8133.91,5.27,5.63,3.59
HKG,8193.25,4.9,6.26,3.15
HKG,8417.6,4.3,3.63,2.45
HKG,8325.56,1.04,3.26,-0.47
HKG,8125.97,-1.38,-0.06,-3.97
HKG,8306.61,6.76,4.45,3.66
HKG,8444.7,1.95,3.1,0.55
HKG,8535.24,-0.46,0.62,-1.74
HKG,8499.45,1.24,3.54,-0.29
HKG,8550.36,2.15,2.15,0.23
HKG,8631.82,1.42,1.42,0.42
HKG,8455.97,1.93,4.3,1.48
HKG,8537.78,2.76,2.8,2.02
HKG,8659.37,1.34,1.4,0.91
HKG,8638.48,-1.55,-1.43,-2.19
HKG,8018.27,-2.13,0.68,-5.07
HKG,8137.28,7.26,4.9,5.42
HKG,8138.66,-2.79,-3.7,-3.98
HKG,8304.13,1.24,1.16,1.88
HKG,8296.66,2.63,2.63,1.79
HKG,8305.33,2.01,2.02,1.35
HUN,9607.71,-5.32,-3.37,-5.19
HUN,8941.1,-6.89,-5.33,-8.35
HUN,8007.46,5.81,8.24,4.63
HUN,7495.07,6.22,6.22,3.68
HUN,7749.44,6.54,-0.43,0.03
HUN,7625.27,3.4,3.14,2.51
HUN,7603.96,0.28,0.38,0.07
HUN,7715.63,1.92,1.49,1.43
HUN,7748.56,2.91,3.41,1.4
HUN,7930.72,1.1,0.72,-0.83
HUN,7900.3,3.73,4.81,3.52
HUN,7775.51,3.83,5.73,3.43
HUN,7707.94,4.86,5.65,3.65
HUN,7743.91,1.94,3.46,1.45
HUN,7680.65,5.95,5.83,2.8
HUN,7525.22,5.04,6.45,3.61
HUN,7508.8,3.01,4.16,2.08
HUN,7356.14,0.93,2.41,-0.47
HUN,7224.39,3.04,2.84,-0.46
HUN,6959.86,-4.98,-3.2,-6.46
HUN,6936.07,1.89,1.41,0.59
HUN,6879.96,2.01,2.75,0.93
HUN,6883.33,-2.26,-1.39,-2.15
HUN,6966.86,0.53,0.81,0.61
HUN,7339.0,-0.1,-0.96,0.1
HUN,7507.1,1.18,1.34,0.92
HUN,7820.4,-0.85,-1.67,-0.12
HUN,7892.96,2.33,3.17,2.13
HUN,7963.95,3.63,4.66,2.81
HUN,8006.14,4.04,4.52,2.18
HUN,7651.59,-3.6,0.09,-3.99
HUN,7908.52,5.73,3.74,2.79
HUN,8077.55,2.63,2.09,1.48
HUN,7949.25,-1.04,0.76,-0.85
HUN,7974.97,0.23,0.19,-0.29
HUN,8017.68,1.33,0.97,0.79
ISL,231.41,2.12,2.73,-7.9
ISL,231.73,-0.15,-0.36,-7.84
ISL,231.73,-3.37,-3.37,-8.69
ISL,233.3,1.54,0.63,-2.68
ISL,231.22,2.78,4.54,0.34
ISL,236.34,-2.84,-2.05,-4.26
ISL,239.18,4.42,3.32,-0.45
ISL,242.78,5.77,4.21,0.42
ISL,249.95,3.1,4.28,-0.64
ISL,255.94,0.38,1.6,-2.06
ISL,269.14,2.91,-0.17,-2.95
ISL,275.34,2.32,1.67,-0.72
ISL,265.95,2.03,4.11,-1.05
ISL,261.0,2.01,4.08,-0.07
ISL,260.73,8.35,7.91,4.15
ISL,268.02,2.72,3.24,-0.99
ISL,280.21,1.07,1.69,-2.09
ISL,288.82,3.82,5.22,2.52
ISL,291.4,1.41,1.31,-0.92
ISL,252.89,0.58,6.4,-1.23
ISL,248.28,-1.58,-1.03,-1.84
ISL,252.64,0.73,0.09,-0.43
ISL,254.96,-0.81,0.14,-0.5
ISL,261.08,2.17,2.1,2.55
ISL,265.61,-0.75,-0.05,-0.57
ISL,272.81,1.54,1.68,0.77
ISL,286.82,1.68,1.11,0.54
ISL,296.44,-0.04,0.81,-0.32
ISL,303.18,1.84,2.56,1.41
ISL,299.58,1.96,3.09,1.08
ISL,282.34,-2.31,-1.26,-4.51
ISL,285.51,3.58,3.87,2.76
ISL,305.7,1.75,1.78,2.7
ISL,316.97,1.34,1.89,1.37
ISL,320.04,-0.49,-0.45,-2.41
ISL,323.58,-0.18,-0.2,-1.61
IND,838770.2,2.76,2.74,-0.29
IND,859752.35,-1.42,-1.47,-3.93
IND,880250.21,2.15,2.27,-0.17
IND,902206.11,2.4,2.45,0.47
IND,917247.18,3.95,3.96,1.33
IND,928239.61,5.35,5.28,2.1
IND,939592.71,5.96,5.82,2.51
IND,950213.89,2.3,2.32,-1.45
IND,962390.05,4.54,4.47,0.96
IND,975581.59,4.22,4.12,0.41
IND,996773.95,1.47,1.27,-1.39
IND,1020947.56,2.38,2.38,0.02
IND,1048114.69,0.3,0.2,-2.01
IND,1077484.91,4.7,4.55,2.29
IND,1109058.67,4.63,4.44,1.03
IND,1122848.87,6.11,6.05,1.16
IND,1124158.11,8.22,8.33,2.53
IND,1128407.64,7.99,7.78,1.54
IND,1142174.51,5.22,4.32,-1.54
IND,1158049.01,6.83,5.92,0.96
IND,1168397.41,6.6,6.42,1.62
IND,1186041.54,5.73,5.11,0.62
IND,1200436.54,5.51,4.57,-0.15
IND,1202338.14,6.22,5.98,1.64
IND,1211554.28,7.02,6.18,2.35
IND,1214326.1,7.39,7.24,3.17
IND,1215600.71,8.77,8.89,4.47
IND,1224027.32,5.74,5.37,1.6
IND,1266303.5,4.27,3.69,1.02
IND,1365169.08,-2.55,-2.99,-3.06
IND,1409931.83,-12.34,-9.65,-10.97
IND,1424901.81,6.88,8.93,5.83
IND,1438549.24,3.99,6.11,3.09
IND,1505031.74,1.99,4.04,2.73
IND,1567048.1,2.47,2.48,1.03
IND,1588354.08,4.64,4.65,1.88
IDN,144408.71,5.39,4.4,0.37
IDN,146923.65,8.13,7.06,1.06
IDN,148395.88,3.68,5.47,-0.67
IDN,149855.39,7.0,6.9,0.78
IDN,157975.0,3.74,2.01,-1.89
IDN,154350.86,10.67,10.76,2.01
IDN,164995.91,0.3,0.86,-2.59
IDN,168876.03,2.62,2.29,-3.33
IDN,175764.99,-14.25,-16.53,-19.02
IDN,182649.37,-2.24,-3.01,-1.7
IDN,183587.43,5.2,4.81,2.87
IDN,189473.08,2.55,0.42,-2.17
IDN,188598.34,3.57,4.98,4.99
IDN,193264.24,3.63,2.25,0.77
IDN,198591.39,3.54,2.21,0.49
IDN,196776.36,5.49,6.67,3.72
IDN,201083.72,3.85,3.24,0.77
IDN,211997.49,2.01,0.87,0.72
IDN,215557.47,2.97,4.26,1.4
IDN,219738.86,2.49,2.71,-1.28
IDN,228384.43,3.25,2.35,0.45
IDN,228261.54,4.89,6.23,1.13
IDN,227186.69,5.12,6.53,0.67
IDN,221600.0,3.94,8.22,1.46
IDN,232848.95,3.53,-0.07,-2.11
IDN,237653.24,4.95,2.76,-1.37
IDN,246578.28,1.13,1.23,-1.53
IDN,251993.18,2.52,2.81,-0.28
IDN,253455.53,2.17,4.57,0.5
IDN,260291.11,1.99,2.26,-0.69
IDN,252342.26,-1.35,1.02,-3.97
IDN,252618.53,1.65,3.59,0.23
IDN,268528.71,2.0,-0.93,-0.89
IDN,277969.43,1.63,1.48,-0.05
IDN,287445.93,1.55,1.57,-0.37
IDN,288893.63,4.37,4.39,0.98
IRN,NA,5.61,NA,6.19
IRN,NA,7.08,NA,5.73
IRN,NA,7.15,NA,4.74
IRN,NA,-2.62,NA,-4.97
IRN,NA,-1.44,NA,-3.23
IRN,NA,-0.76,NA,-1.27
IRN,NA,5.44,NA,4.7
IRN,NA,0.24,NA,-0.82
IRN,NA,-0.61,NA,-1.61
IRN,NA,-0.77,NA,-1.61
IRN,NA,-1.22,NA,-2.12
IRN,NA,1.78,NA,-0.73
IRN,NA,1.77,NA,-0.61
IRN,NA,3.53,NA,2.2
IRN,NA,-0.26,NA,-0.91
IRN,52373.56,-0.29,NA,-2.31
IRN,54332.94,2.37,0.62,0.24
IRN,55464.42,7.7,7.15,5.12
IRN,53569.45,0.35,0.94,-4.79
IRN,52398.03,4.82,9.15,4.46
IRN,51054.88,4.28,4.91,0.42
IRN,50680.29,7.26,6.66,2.12
IRN,53034.62,-5.65,-5.82,-5.3
IRN,53429.25,-4.0,-3.09,-4.28
IRN,52518.29,4.19,6.49,3.97
IRN,55211.82,-4.82,-6.59,-5.23
IRN,54330.17,4.13,8.42,6.93
IRN,58267.46,0.38,-2.43,0.06
IRN,57338.62,-1.38,1.82,0.51
IRN,60391.65,-5.82,-8.8,-7.19
IRN,55093.49,5.33,10.79,6.74
IRN,57474.81,4.37,0.85,2.58
IRN,57294.55,1.63,3.05,2.56
IRN,57909.61,2.66,2.9,2.35
IRN,58275.86,3.68,3.69,3.34
IRN,58784.25,1.13,1.14,0.96
IRQ,NA,-3.76,NA,-1.35
IRQ,NA,-61.84,NA,-94.97
IRQ,NA,25.36,NA,28.03
IRQ,NA,-4.88,NA,1.64
IRQ,NA,-9.72,NA,-2.65
IRQ,NA,-11.91,NA,-6.67
IRQ,NA,8.95,NA,14.64
IRQ,NA,-6.95,NA,-1.65
IRQ,NA,11.05,NA,15.8
IRQ,NA,-3.4,NA,1.75
IRQ,NA,-3.31,NA,1.34
IRQ,NA,-1.31,NA,2.13
IRQ,NA,-10.89,NA,-7.45
IRQ,NA,-38.45,NA,-45.31
IRQ,NA,48.3,NA,43.24
IRQ,12177.19,-1.77,NA,-0.39
IRQ,12277.0,4.31,4.78,3.8
IRQ,12184.52,2.58,2.66,3.53
IRQ,12301.69,5.69,7.2,6.87
IRQ,12612.81,-0.56,0.83,2.85
IRQ,12890.77,2.79,4.11,4.41
IRQ,13173.05,3.81,5.24,5.21
IRQ,13608.5,8.76,10.29,10.49
IRQ,14248.58,1.41,2.79,2.97
IRQ,14697.93,-3.79,-2.34,-2.93
IRQ,14958.25,-0.6,0.75,-2.35
IRQ,15249.02,12.54,13.96,13.21
IRQ,14541.48,1.13,3.28,-0.62
IRQ,14609.61,0.51,2.15,1.63
IRQ,14647.96,3.88,5.31,2.61
IRQ,13699.99,-9.33,-6.35,-9.51
IRQ,13980.74,-0.95,-0.61,0.92
IRQ,15179.58,-0.16,-0.79,4.19
IRQ,15642.67,-5.96,-5.77,-3.68
IRQ,16059.58,-2.54,-2.54,-1.31
IRQ,16556.69,0.94,0.95,1.92
IRL,2850.92,3.92,4.5,3.69
IRL,2793.82,1.97,3.72,1.31
IRL,2737.25,3.22,5.72,3.25
IRL,2741.33,0.8,2.16,0.87
IRL,2826.93,2.7,2.69,3.01
IRL,2938.91,4.97,5.42,3.87
IRL,2962.35,3.74,4.7,1.31
IRL,2983.69,4.99,6.3,2.79
IRL,3054.66,2.41,3.63,-0.15
IRL,3235.3,-1.14,-0.53,-2.98
IRL,3354.88,1.99,2.66,0.18
IRL,3408.95,0.33,1.52,-1.32
IRL,3430.95,1.2,2.06,-1.1
IRL,3436.43,1.63,3.41,-0.59
IRL,3520.99,2.8,3.6,0.91
IRL,3688.16,0.51,0.43,-1.44
IRL,3809.84,-0.15,0.99,-1.52
IRL,3915.54,2.76,4.23,1.6
IRL,3801.39,-1.1,0.86,-3.9
IRL,3378.44,-0.68,2.43,-5.51
IRL,3232.08,5.17,5.0,1.45
IRL,3174.59,4.97,4.81,3.03
IRL,3151.72,-3.05,-2.76,-4.31
IRL,3279.86,0.67,-0.42,0.17
IRL,3387.68,4.03,3.37,3.53
IRL,3489.51,1.31,1.8,1.15
IRL,3671.78,-2.64,-3.97,-3.21
IRL,3836.1,2.71,1.38,1.82
IRL,3981.39,1.56,0.8,1.01
IRL,4110.19,1.21,1.12,1.41
IRL,3724.51,-2.73,4.67,-3.89
IRL,4004.75,1.13,0.23,3.09
IRL,4365.42,-2.39,-4.25,-0.36
IRL,4439.8,2.58,4.34,2.49
IRL,4532.89,-0.58,0.0,-1.89
IRL,4627.5,2.97,2.77,-0.83
ISR,3708.83,4.37,3.65,3.19
ISR,3859.75,-1.4,0.53,-0.57
ISR,4052.8,2.8,2.05,1.59
ISR,4259.02,-2.21,-1.25,-1.5
