ISO3,year,government_investment_gdp,private_sector_investment_gdp
BEL,2011,2.260495989,19.86980666
BEL,2012,2.358979049,19.75161736
BEL,2013,2.231932898,19.27784636
BEL,2014,2.488119176,19.82148235
BEL,2015,2.462190634,20.21911982
BEL,2016,2.417490827,20.91125678
BEL,2017,2.40401687,20.87617854
BEL,2018,2.62389137,21.01932296
BEL,2019,2.610484582,21.41460401
BEN,1990,4.225290212,6.990529776
BEN,1991,4.083459831,7.737085322
BEN,1992,4.172940785,8.056618204
BEN,1993,3.78394776,8.730523184
BEN,1994,4.351267954,7.667741761
BEN,1995,4.779317659,7.816874468
BEN,1996,4.333089415,7.927380263
BEN,1997,4.211812281,8.350650304
BEN,1998,3.697025853,8.900371064
BEN,1999,2.625639836,10.22678753
BEN,2000,3.15843106,8.912851235
BEN,2001,3.4901104,9.717913083
BEN,2002,2.956017516,9.204994596
BEN,2003,3.296303825,9.414478099
BEN,2004,2.93888133,8.837590381
BEN,2005,3.005399215,7.848984482
BEN,2006,2.230120017,8.004981134
BEN,2007,3.589093071,8.475890066
BEN,2008,2.976720215,8.808602443
BEN,2009,4.925328776,7.434080086
BEN,2010,2.823065162,10.44354109
BEN,2011,3.217291738,9.824713636
BEN,2012,2.90867253,9.429743136
BEN,2013,3.638461769,12.53248188
BEN,2014,2.545544223,11.92718588
BEN,2015,3.520961948,9.371560284
BEN,2016,2.714265129,9.802069234
BEN,2017,4.220962507,10.62464769
BEN,2018,3.514275739,12.65667899
BEN,2019,2.600501535,14.10664994
BFA,1990,2.553839828,7.482967788
BFA,1991,3.486466178,7.051423748
BFA,1992,3.816342263,6.246987152
BFA,1993,3.183911285,6.215510994
BFA,1994,3.732408918,7.655290377
BFA,1995,4.172323912,5.667647888
BFA,1996,4.426625743,5.218364499
BFA,1997,5.158307772,5.258814266
BFA,1998,4.606171489,5.197253302
BFA,1999,4.46162214,4.368280554
BFA,2000,3.841990246,4.688544348
BFA,2001,4.08958025,3.665096925
BFA,2002,3.687425749,3.992601207
BFA,2003,3.161566925,4.812126751
BFA,2004,4.019941957,4.64675086
BFA,2005,3.987856298,4.843423806
BFA,2006,4.200385807,4.81342158
BFA,2007,3.98442247,5.870970405
BFA,2008,3.047636327,6.619550293
BFA,2009,4.241500311,6.823594748
BFA,2010,4.04509456,7.956485011
BFA,2011,3.708001076,9.323913666
BFA,2012,4.304097194,9.672665933
BFA,2013,5.512490195,8.791687368
BFA,2014,3.605252341,8.33567235
BFA,2015,3.485983903,9.85532076
BFA,2016,3.407540912,10.86254582
BFA,2017,4.591619688,10.05259106
BFA,2018,5.56843939,11.2367868
BFA,2019,4.761106136,13.86689712
BGD,1990,4.589155898,7.393343277
BGD,1991,3.856079536,7.101151582
BGD,1992,4.157183489,7.326021801
BGD,1993,3.87187409,8.154835892
BGD,1994,4.069763839,8.565658119
BGD,1995,4.124676335,9.014137614
BGD,1996,3.949531525,9.939622362
BGD,1997,4.410717103,10.22919267
BGD,1998,4.047650718,11.54314705
BGD,1999,4.369092329,11.96826975
BGD,2000,4.718691517,11.82431695
BGD,2001,4.618770056,12.00232126
BGD,2002,4.165240624,13.05227245
BGD,2003,4.102037909,13.5424303
BGD,2004,4.09662579,14.02835519
BGD,2005,4.19720386,14.7399582
BGD,2006,4.092069803,15.13971397
BGD,2007,3.745515628,15.50211128
BGD,2008,3.423005222,16.51478472
BGD,2009,3.357583895,17.02490208
BGD,2010,3.73251203,17.22779026
BGD,2011,4.135726797,17.43422516
BGD,2012,4.564717828,17.82458352
BGD,2013,5.205363747,17.04688034
BGD,2014,5.281448177,17.7667919
BGD,2015,5.471270637,17.69935824
BGD,2016,5.295221491,18.26397384
BGD,2017,5.877107502,18.31113489
BGD,2018,6.324799976,18.45502361
BGD,2019,6.317358244,18.52866789
BGR,1990,1.124619964,5.227052352
BGR,1991,1.27749358,5.937584211
BGR,1992,1.432479351,6.657932936
BGR,1993,1.512163778,7.028293036
BGR,1994,1.544567832,7.178902058
BGR,1995,0.36546356,8.516890089
BGR,1996,0.329108312,2.407366262
BGR,1997,1.088175694,6.905417283
BGR,1998,2.457298502,7.675606797
BGR,1999,3.423342357,10.11291705
BGR,2000,3.491884159,11.55626173
BGR,2001,3.482343844,13.89356621
BGR,2002,3.181467807,14.55312979
BGR,2003,3.119129928,15.9199618
BGR,2004,3.335176392,17.01325716
BGR,2005,3.443373164,20.63232023
BGR,2006,3.857449055,21.58882522
BGR,2007,4.951784034,21.84276352
BGR,2008,5.199955639,25.62635285
BGR,2009,4.675572448,21.63987319
BGR,2010,4.420582156,16.96964025
BGR,2011,3.26809234,16.78131786
BGR,2012,3.272068951,17.12798465
BGR,2013,3.897840652,16.46501786
BGR,2014,5.102766599,15.58305993
BGR,2015,6.499407291,14.06573532
BGR,2016,2.603260262,15.91878637
BGR,2017,2.249182641,16.26408915
BGR,2018,3.070726284,15.70527071
BGR,2019,3.403102287,15.52407632
BHR,1990,9.296968495,9.726957952
BHR,1991,5.193868815,15.88905601
BHR,1992,4.78970841,16.80636469
BHR,1993,4.902153925,16.54761681
BHR,1994,4.555924669,15.08139958
BHR,1995,3.494908269,12.59025571
BHR,1996,3.270723737,12.63103857
BHR,1997,4.613073129,13.94203115
BHR,1998,4.399310688,12.9258344
BHR,1999,3.70900868,9.411885892
BHR,2000,3.589782297,11.87854507
BHR,2001,4.121615078,9.545541357
BHR,2002,6.282934924,11.70398919
BHR,2003,5.343781753,14.1541788
BHR,2004,3.999620501,13.61747204
BHR,2005,3.891389606,17.69302425
BHR,2006,5.789645845,19.41087579
BHR,2007,5.900234509,26.14396932
BHR,2008,5.744374617,30.02637397
BHR,2009,5.437489109,19.09077222
BHR,2010,8.43958895,18.52206156
BHR,2011,4.781830756,18.35399985
BHR,2012,6.120412977,18.37908174
BHR,2013,4.551245309,22.62151751
BHR,2014,4.156919351,23.41062507
BHR,2015,4.13452605,20.38024142
BHR,2016,3.697213842,22.52479696
BHR,2017,4.529470321,23.37733337
BHR,2018,4.900456759,25.12422561
BHR,2019,4.245913859,25.25628295
BHS,1990,0.534691095,17.5602638
BHS,1991,0.534939484,17.568422
BHS,1992,0.556795555,18.28621569
BHS,1993,0.440690295,14.47309999
BHS,1994,0.50929647,16.726256
BHS,1995,0.54025242,17.74290752
BHS,1996,0.589674678,19.36602803
BHS,1997,0.978669195,24.71938682
BHS,1998,0.810587402,30.40468179
BHS,1999,0.684167292,25.28759377
BHS,2000,0.756378435,28.22629435
BHS,2001,0.793086799,24.58204335
BHS,2002,0.916506053,24.85951012
BHS,2003,0.924523852,26.66108889
BHS,2004,1.017776188,24.0432327
BHS,2005,1.215749235,28.52865989
BHS,2006,1.435339676,33.49003567
BHS,2007,1.593625344,31.70372935
BHS,2008,1.5532699,29.88663864
BHS,2009,1.494717402,26.78785851
BHS,2010,1.60434354,24.07297161
BHS,2011,1.92308079,27.06740945
BHS,2012,2.28751997,32.94199923
BHS,2013,2.532266802,29.868668
BHS,2014,2.643333529,33.37719303
BHS,2015,2.50545538,26.66124792
BHS,2016,3.027227893,27.30887774
BHS,2017,2.948719525,29.15391379
BHS,2018,1.986039099,27.50556776
BHS,2019,1.894176167,29.07686036
BIH,1990,5.648061604,7.11065698
BIH,1991,5.867901264,7.387425038
BIH,1992,5.146838737,6.479639765
BIH,1993,5.929443554,7.464904134
BIH,1994,6.527420164,8.217729537
BIH,1995,2.983650796,3.756282395
BIH,1996,10.13611823,12.76091753
BIH,1997,10.02219736,12.6174958
BIH,1998,8.620035732,12.7401927
BIH,1999,9.115200866,8.335657842
BIH,2000,9.060487767,8.037782975
BIH,2001,6.888408276,9.548424776
BIH,2002,6.110714608,11.93992256
BIH,2003,5.969024309,12.26389201
BIH,2004,5.269772818,11.49120038
BIH,2005,6.269756123,13.20942911
BIH,2006,5.835939614,10.85242346
BIH,2007,5.245009834,14.09837431
BIH,2008,6.414032654,14.89213301
BIH,2009,6.730240362,11.01880163
BIH,2010,6.935068986,8.744877516
BIH,2011,4.319577076,12.13044117
BIH,2012,4.70916556,12.22244159
BIH,2013,4.207971417,12.14093116
BIH,2014,5.209658925,12.81462998
BIH,2015,3.157117587,13.72007915
BIH,2016,3.140281971,14.10070174
BIH,2017,3.004284255,15.00781275
BIH,2018,3.211806678,15.55762464
BIH,2019,3.074237714,15.89823424
BLR,1990,1.235685242,11.346319
BLR,1991,1.725671258,11.57034052
BLR,1992,1.040900807,10.92945834
BLR,1993,1.970682838,9.99673618
BLR,1994,1.387538286,10.30968654
BLR,1995,1.045159385,8.152979909
BLR,1996,1.431413084,7.240269384
BLR,1997,1.065105434,8.407444958
BLR,1998,1.508470197,8.109096011
BLR,1999,0.917320439,8.004589108
BLR,2000,0.869152486,7.761850582
BLR,2001,0.707571229,7.346740545
BLR,2002,0.690113334,7.489947595
BLR,2003,1.44365793,7.779416947
BLR,2004,1.381848314,8.546342638
BLR,2005,1.618057541,9.22109337
BLR,2006,2.098077609,10.86975014
BLR,2007,2.227721874,11.67958357
BLR,2008,2.226015443,13.39106614
BLR,2009,2.067516511,14.30928646
BLR,2010,1.960219025,15.96647061
BLR,2011,1.736908018,17.58324259
BLR,2012,1.679641842,15.14005017
BLR,2013,2.219899918,15.94126766
BLZ,1990,10.06604828,17.09330056
BLZ,1991,14.51231478,15.95792856
BLZ,1992,13.71252343,16.28494979
BLZ,1993,9.773447221,22.7058856
BLZ,1994,8.402366545,15.85427711
BLZ,1995,6.217101936,19.86608059
BLZ,1996,6.077070161,17.87401863
BLZ,1997,8.429219653,14.56607931
BLZ,1998,10.08814109,11.70147166
BLZ,1999,13.73281544,13.68764804
BLZ,2000,15.40826955,16.3492224
BLZ,2001,14.98699301,13.45525281
BLZ,2002,14.87215014,10.83313643
BLZ,2003,10.29750028,9.919388169
BLZ,2004,6.922293436,11.33059846
BLZ,2005,3.939986254,15.4039342
BLZ,2006,3.888653404,14.89445789
BLZ,2007,4.712295817,14.58543777
BLZ,2008,5.075771992,18.82192695
BLZ,2009,4.236532125,15.12003863
BLZ,2010,4.10128203,10.70446171
BLZ,2011,4.284976393,10.07267065
BLZ,2012,4.374031796,9.598087451
BLZ,2013,6.336064636,10.81416146
BLZ,2014,7.134684327,10.36080563
BLZ,2015,7.682749766,13.52216578
BLZ,2016,7.554319623,15.15190406
BLZ,2017,5.019190183,14.59702342
BLZ,2018,4.447012676,16.03982185
BLZ,2019,5.97954213,14.57306445
BOL,1990,2.769218279,6.494895963
BOL,1991,3.307362011,7.172799584
BOL,1992,3.899559496,7.656420312
BOL,1993,3.833771851,7.540557789
BOL,1994,4.12936044,5.865786538
BOL,1995,4.226133704,6.639863037
BOL,1996,4.605688957,7.027456235
BOL,1997,4.092436761,9.958002639
BOL,1998,3.965698511,13.32044393
BOL,1999,4.327214284,10.2560087
BOL,2000,3.670555607,9.28989561
BOL,2001,3.863896627,6.148078748
BOL,2002,4.087612154,7.489604967
BOL,2003,4.104789869,5.944338331
BOL,2004,5.373245798,4.165482041
BOL,2005,5.149774235,4.594074841
BOL,2006,5.770480292,4.391571512
