ISO3,year,eci
COG,2003,-1.7430344522
COG,2018,-0.8270262676
COG,2020,-0.9598389278
COG,2019,-0.9585453391
COG,2005,-1.8248172614
COG,2004,-1.8571505573
COG,2010,-1.1900257709
COG,2017,-0.9958199692
COG,2008,-1.3429272915
COG,2009,-1.2017238531
COG,2006,-1.9913902095
COG,2016,-1.1535979678
COG,2021,-1.0949543331
COG,2007,-1.8332289771
COG,2011,-1.5153584683
COG,2012,-1.2941020852
COG,2022,-1.4219043803
COG,2014,-1.3060446851
COG,2013,-1.4620393593
COG,2015,-1.4940813857
COG,2023,-1.7340172418
GAB,2000,-0.8966599206
GAB,1999,-1.136515753
GAB,2017,-0.5308658361
GAB,2019,-0.5364209586
GAB,2018,-0.5181673117
GAB,1998,-1.3911976131
GAB,2016,-0.5683816073
GAB,2020,-0.6024969223
GAB,2023,-0.6223058924
GAB,2021,-0.684928695
GAB,2001,-1.4145150069
GAB,2022,-0.7349316915
GAB,2002,-1.4647269928
GAB,2003,-1.3768017766
GAB,2004,-1.5040294498
GAB,2014,-0.922782151
GAB,2006,-1.7220468497
GAB,2012,-1.0577692306
GAB,2005,-1.8759289521
GAB,2015,-0.9705741754
GAB,2013,-1.1149978682
GAB,2007,-1.7250431026
GAB,2010,-1.4473334859
GAB,2011,-1.3844040424
GAB,2008,-1.665949794
GAB,2009,-1.8110921259
TCD,2010,0.0087737123
TCD,2011,-0.1596098072
TCD,2006,-1.3164285298
TCD,2012,-1.0473562802
TCD,2009,-1.4446307286
TCD,2007,-2.0626231846
TCD,2008,-2.5118783465
TCD,2016,-1.8523750006
TCD,2017,-1.6785364768
TCD,2018,-1.7928415403
TCD,2020,-1.5369072505
TCD,2022,-1.8703582692
TCD,2013,-2.1772012879
TCD,2014,-2.5145764578
TCD,2015,-2.1508225411
TCD,2021,-1.9478587669
TCD,2023,-2.4091673042
BWA,2001,-0.2373082487
BWA,2010,-0.113387381
BWA,2002,-0.4466995532
BWA,2011,-0.1563583113
BWA,2009,-0.2544650027
BWA,2012,-0.2730755837
BWA,2003,-0.6768409867
BWA,2013,-0.3388349571
BWA,2004,-0.666637142
BWA,2014,-0.2805460082
BWA,2018,-0.483674463
BWA,2019,-0.438089724
BWA,2017,-0.4286928345
BWA,2023,-0.4066969843
BWA,2015,-0.3386107111
BWA,2005,-0.7094874832
BWA,2016,-0.5205608239
BWA,2020,-0.5000600581
BWA,2022,-0.510945399
BWA,2008,-0.5464083515
BWA,2006,-0.8387987283
BWA,2021,-0.6393072714
BWA,2007,-0.7683440856
NAM,2003,-0.3075301852
NAM,2004,-0.4224517434
NAM,2005,-0.4766843154
NAM,2015,-0.3114415921
NAM,2006,-0.5753793726
NAM,2010,-0.4121192402
NAM,2016,-0.5160601315
NAM,2011,-0.4676673994
NAM,2014,-0.347051307
NAM,2009,-0.4889189457
NAM,2007,-0.5684929777
NAM,2013,-0.5347635038
NAM,2017,-0.598229856
NAM,2008,-0.5994982263
NAM,2018,-0.6304739332
NAM,2012,-0.6541444707
NAM,2019,-0.7042755665
NAM,2022,-0.7066339516
NAM,2021,-0.7119271233
NAM,2020,-0.7399432736
NAM,2023,-0.735227921
ZAF,1998,0.5453028149
ZAF,2002,0.4674923882
ZAF,1999,0.4392384797
ZAF,2000,0.419329387
ZAF,2003,0.3872673821
ZAF,2004,0.3262246055
ZAF,2005,0.3955757504
ZAF,2001,0.3882892926
ZAF,2006,0.365414753
ZAF,2007,0.3933343037
ZAF,2008,0.3713464803
ZAF,2009,0.3539023632
ZAF,2010,0.3500037173
ZAF,2011,0.3329672165
ZAF,2012,0.3423988389
ZAF,2014,0.3860492936
ZAF,2013,0.3279229962
ZAF,2017,0.2300838274
ZAF,2015,0.2826622461
ZAF,2016,0.2633321288
ZAF,2018,0.1877335336
ZAF,2019,0.1781907198
ZAF,2020,0.1584067577
ZAF,2022,0.1053073903
ZAF,2021,0.0750465913
ZAF,2023,0.0699775943
ZMB,2013,-0.3016913588
ZMB,2014,-0.315798163
ZMB,2015,-0.4403971922
ZMB,2006,-0.7766758481
ZMB,2012,-0.5465214329
ZMB,2007,-0.6833421863
ZMB,2008,-0.555522923
ZMB,2004,-0.9319945598
