ISO3,year,exports_gdp,exports_usd,fdi_in_gdp,fdi_out_gdp,gross_CF_gdp,gross_fixed_CF_gdp,gross_fixed_CF_private_gdp,imports_gdp,imports_usd,interest_payments,life_expectancy,un_multidim_pov,wb_multidim_pov,fiscal_balance_gdp,oda_gni,remittances_gdp,pov_international,pov_national,rnd_gdp,researchers_per_million,school_enrollment_primary
BIH,1990,NA,NA,0,0,NA,NA,NA,NA,NA,NA,71.509,NA,NA,NA,1.5596645965561e-4,NA,NA,NA,NA,NA,NA
BIH,1991,NA,NA,0,0,NA,NA,NA,NA,NA,NA,71.813,NA,NA,NA,1.9750100324371e-4,NA,NA,NA,NA,NA,NA
BIH,1992,NA,NA,0,0,NA,NA,NA,NA,NA,NA,51.967,NA,NA,NA,0.4007073769654365,NA,NA,NA,NA,NA,NA
BIH,1993,NA,NA,0,0,NA,NA,NA,NA,NA,NA,50.894,NA,NA,NA,2.3395151683254007,NA,NA,NA,NA,NA,NA
BIH,1994,15.448289421942588,194000000,0,0,NA,NA,NA,86.3989382618954,1085000000,NA,66.603,NA,NA,NA,37.45591148578092,NA,NA,NA,NA,NA,NA
BIH,1995,20.411739023502072,381000000,0,0,19.983146078126698,12.26847306137001,7.828142782221229,71.4678736413432,1334000000,NA,70.188,NA,NA,NA,59.44946858628587,NA,NA,NA,NA,NA,NA
BIH,1996,23.617706247982976,658000000,0,0,41.21390140016282,34.03526728223486,NA,83.88233728274291,2336999933.545986,NA,73.454,NA,NA,NA,33.2213315564414,NA,NA,NA,NA,NA,NA
BIH,1997,27.83363490033526,1022025932.2651632,0,0,41.99999937178994,34.216556884341976,NA,72.79732985598127,2673052196.6995296,NA,73.895,NA,NA,NA,25.03118599958192,NA,NA,NA,NA,NA,NA
BIH,1998,27.30319722546008,1124011006.6217036,1.6210864013262831,0,38.00000027608461,32.56667167300097,NA,98.36341183155083,4049399659.48122,NA,74.472,NA,NA,NA,18.57485483746594,48.194292412913256,NA,NA,NA,NA,NA
BIH,1999,27.643946778602736,1295466214.9096167,3.772320186204296,0,27.999979309557617,23.896762364224784,NA,94.17659478559004,4413356665.640771,NA,74.946,NA,NA,NA,23.756299675560506,39.96332553503258,NA,NA,NA,NA,NA
