year,COCOA,COFFEE_ARABIC,COFFEE_ROBUS,TEA_AVG,COCONUT_OIL,PALM_OIL,SOYBEANS,BARLEY,MAIZE,RICE_05,WHEAT_US_HRW,BANANA_US,ORANGE,BEEF,CHICKEN,LAMB,SUGAR_WLD,TOBAC_US,PLYWOOD,COTTON_A_INDX,RUBBER1_MYSG,CRUDE_PETRO,NGAS_EUR,COAL_AUS,PHOSROCK,DAP,TSP,UREA_EE_BULK,POTASH,ALUMINUM,IRON_ORE,COPPER,LEAD,TIN,NICKEL,ZINC,GOLD,PLATINUM,SILVER
2000,0.90579166667,1.91966666667,0.913025,1.87624166667,450.33333333333,310.25,211.83333333333,77.234166666670006,88.53416666667,202.39583333333,114.0875,0.42399833333,0.3632125,1.92547836433,1.31064659,2.6184750000000001,0.18035833333,2976.21333333333,448.24,1.30215,0.66718333333,28.22971944444,3.85833333333,26.25,44,147.66874999999999,137.70833333333,100.92291666667,112.5,1549.14083333333,28.79,1813.46916666667,453.94166666667,5435.70833333333,8637.73916666667,1128.13333333333,279.03166666667,544.63083333333,4.95324166667
2001,1.06873333333,1.37311666667,0.607175,1.59814166667,318.08333333333,287.45833333333,195.83333333333,93.936666666670007,89.64083333333,172.83833333333,126.80833333333,0.58324833333,0.59549729307,2.10638580717,1.40276296233,2.9117999999999999,0.19039166667,3004.615,409.8075,1.058075,0.575125,24.35182500429,4.0575,32.3125,44,143.50972222222001,126.87583333333,96.45347222222,112.5,1443.63416666667,30.03,1578.28833333333,476.15833333333,4484.44166666667,5944.72666666667,885.76666666667,270.98916666667,529.52916666667,4.376
2002,1.77785833333,1.35660833333,0.66178333333,1.506,421,410.895,212.66666666667,108.9675,99.27083333333,191.87333333333,148.0775,0.52857583333,0.56453207631,2.10859042717,1.3907294115,3.30341666667,0.151825,2744.47333333333,402.73,1.019225,0.7649,24.92774838181,3.05166666667,25.309374999999999,44,152.19374999999999,133.06333333333,94.41875,112.5,1349.915,29.31,1559.4775,452.68333333333,4060.5,6771.75083333333,778.75,309.97166666667,539.51416666667,4.60105
2003,1.75087716667,1.41538533333,0.81449685,1.51664191667,467.33333333333,476.70333333333,264,104.74049416667,105.37007583333,197.61666666667,146.1431,0.374787075,0.68077300833,2.12666831117,1.45975439139,3.8837790833299999,0.15630196667,2646.10225,431.87835000000001,1.39911140841,1.08271026667,28.89890318948,3.90666666667,26.090624999999999,44,171.66562500000001,149.33333333333,138.18541666667,112.5,1431.29375,31.95,1779.14483333333,515.02941666667,4894.89691666667,9629.46825,827.69541666667,363.50916666667,691.71416666667,4.87624166667
2004,1.54984861479,1.77398422667,0.79303855767,1.68560253762,660.75,499.28083333333,306.5,98.988547595,111.80347966667,237.66666666667,156.88168008749,0.52458277135,0.85752321575,2.67308337817,1.66918246131,4.5988930508300001,0.1579860755,2740.215,464.82048152518001,1.36572119858,1.280375,37.73338770304,4.2775,52.947916666669997,44,204.74375000000001,186.3125,174.91458333333,125.55,1715.541,37.9,2865.88491666667,886.545,8512.73341666667,13823.24075,1047.75325,409.21158333333,845.35,6.65786666667
2005,1.53811959058,2.5321714165,1.11450889733,1.64708049799,616.97916666667,450.56416666667,274.6875,95.077129175829995,98.67179116667,286.27083333333,152.35059374974,0.60284246005,0.87467396546,2.734610648,1.62937338114,4.4384745052800003,0.217926687,2789.65154660106,508.60911417918999,1.216967048,1.488,53.39102459679,6.32666666667,47.620902777780003,44,226.78541666666999,201.47916666667,217.35208333333,155,1898.30808333333,65,3678.87641666667,976.36816666667,7379.82791666667,14743.9593333333,1381.30591666667,444.84258333333,896.52833333333,7.30836666667
2006,1.59190223743,2.52210365183,1.48931266917,1.87207711459,606.90972222222,508.29916666667,268.64583333333,116.61509517499999,121.85101775,304.87638888889,192.043356686,0.67724399375,0.8291848123,2.649843009,1.52614102185,4.0359058333300002,0.32587239069,2969.19551533266,595.56383908189002,1.26655419,2.07875,64.2882591402,8.47083333333,49.089583333329998,44,229.87152777777999,201.63333333333,222.13888888889,178.33333333333,2569.89875,69.33333333333,6722.1345,1289.72208333333,8780.82533333333,24254.40925,3275.29175,604.33583333333,1140.78,11.55923333333
2007,1.95226915528,2.723697779,1.90918254817,2.03610132328,918.875,816.68666666667,383.10333333333,172.38121729167,163.66491446667,326.43194444445,255.2061104968,0.67581164167,0.9566808466,2.695368412,1.72358954911,4.1196086083300001,0.22215220867,3315.05666666667,640.71773681642003,1.39515702333,2.26305833333,71.11655901006,8.555,65.733125000000001,52.02083333333,391.96249999999998,339.05416666667,307.10763888889,195.41666666667,2638.17916666667,122.9875,7118.226,2579.98541666667,14536.8345,37229.80675,3242.35758333333,696.72025,1304.94,13.391975
2008,2.57711632353,3.08159946417,2.320913705,2.42047358774,1224,1042.92333333333,521.87,200.51552770251999,223.11682773333,650.1875,326.03004623959,0.84421254583,1.10730698301,3.23540845283,1.86545112441,4.5850681281299996,0.2821362445,3588.74083333333,645.45483454421003,1.57390621317,2.58625833333,96.99045375846,13.40666666667,127.10416666667,242.73958333333,861.61874999999998,879.38125,514.97916666667,455.96875,2572.78916666667,155.99333333333,6955.87983333333,2090.66341666667,18510.0910833333,21110.6448333333,1874.70866666667,871.70725,1574.49916666667,14.99653333333
2009,2.88875032967,3.17114286124,1.6441615036,2.7240132995,725.375,741.14583333333,423.6225,128.32218617002999,165.50963333333,554.99305555556,224.06988173743,0.84714064974,0.90903947102,2.72972374033,1.88778825918,4.2764963604200004,0.400028299,4235.19861111111,564.62351766275003,1.3820211625,1.92068591667,61.75692221551,8.71,71.844166666670006,222.75,288.46875,257.41666666667,251.07916666667,558.47916666667,1664.8295,79.97916666667,5149.73858333333,1719.2665,13573.8769166667,14654.6295,1655.11441666667,972.96591666667,1203.40083333333,14.64353333333
2010,3.13300385383,4.32009986467,1.73593615983,2.88493526759,1123.58333333333,933.02333333333,447.10166666667,158.38666512309001,185.91420833333,488.90694444444,223.58210540486,0.86832060133,1.03320325572,3.41890632417,1.89229130076,5.9543232455800004,0.46934689633,4333.225,569.08783153161005,2.28338047897,3.6538649061,79.04077178472,8.2875,98.966041666669994,105.3125,456.42708333333002,381.88958333333,288.90416666667,332.14583333333,2173.117,145.86318542569,7534.77958333333,2148.44925,20405.62325,21808.8524166667,2160.74325,1224.66425,1609.75416666667,20.15295833333
2011,2.98007671317,5.97613692133,2.40759201467,2.92054885619,1730.08333333333,1193.37,537.51916666667,207.19691870516999,291.68407333333,543.02916666667,316.26413255854,0.96799467474,0.89110049952,4.07735283083,1.92632981744,9.5342500000000001,0.57316445633,4485.05069444444,607.54112003771002,3.32850618726,4.82315702208,104.00939752553,10.515,121.44833333333,163.55208333333,516.28750000000002,538.26041666667,398.92291666667,392.82291666667,2401.38666666667,167.75416666667,8828.1875,2400.81208333333,26053.675,22910.3566666667,2193.90041666667,1569.21083333333,1719.48166666667,35.22411666667
2012,2.39186905303,4.11095705617,2.26682862522,2.89778624848,1110.83333333333,1043.3975,595.5075,240.28063808774999,298.41696413768,562.98333333333,313.24226961107,0.98398391094,0.86795800019,4.20606589517,2.07902304607,8.5462333333299991,0.47494541421,4302.35347222222,610.34222395539996,1.96711645442,3.37726073517,105.00962888488,11.47333333333,96.364166666670002,184.92708333333,480.23819444444001,462,398.60069444444,465.375,2023.28319284294,128.49592592593,7962.34706281927,2064.63826567819,21125.9944097315,17547.5460485288,1950.41350825598,1669.51766666667,1550.83583333333,31.13740833333
