ISO3,year,output_gap_pct
IRL,1994,-1.841
IRL,1995,-6.744
IRL,1996,-4.31
IRL,1997,-2.242
IRL,1998,0.233
IRL,1999,0.458
IRL,2000,2.907
IRL,2001,1.858
IRL,2002,0.785
IRL,2003,1.239
IRL,2004,0.811
IRL,2005,2.512
IRL,2006,4.414
IRL,2007,5.646
IRL,2008,2.413
IRL,2009,-3.779
IRL,2010,-3.876
IRL,2011,-4.2
IRL,2012,-4.948
IRL,2013,-3.165
IRL,2014,-1.2
IRL,2015,0.5
IRL,2016,1.9
IRL,2017,2.561
IRL,2018,1.141
IRL,2019,0.161
IRL,2020,-1.806
IRL,2021,3.498
IRL,2022,2.178
IRL,2023,3.22
IRL,2024,1.2
IRL,2025,1.1
IRL,2026,0.8
ITA,1990,-1.088
ITA,1991,-1.653
ITA,1992,-2.562
ITA,1993,-4.745
ITA,1994,-4.22
ITA,1995,-3.099
ITA,1996,-3.271
ITA,1997,-3.187
ITA,1998,-3.198
ITA,1999,-3.318
ITA,2000,-1.268
ITA,2001,-0.766
ITA,2002,-1.689
ITA,2003,-2.606
ITA,2004,-2.104
ITA,2005,-1.964
ITA,2006,-0.675
ITA,2007,0.471
ITA,2008,-0.421
ITA,2009,-5.194
ITA,2010,-3.264
ITA,2011,-2.234
ITA,2012,-4.549
ITA,2013,-5.729
ITA,2014,-5.386
ITA,2015,-4.562
ITA,2016,-3.514
ITA,2017,-2.273
ITA,2018,-1.843
ITA,2019,-1.827
ITA,2020,-11.068
ITA,2021,-3.804
ITA,2022,0.089
ITA,2023,0.06
ITA,2024,0.041
ITA,2025,-0.16
ITA,2026,-0.052
ITA,2027,-0.164
ITA,2028,-0.16
ITA,2029,-0.161
ITA,2030,-0.173
JPN,1990,3.001
JPN,1991,2.924
JPN,1992,1.112
JPN,1993,-1.396
JPN,1994,-1.675
JPN,1995,-1.676
JPN,1996,-0.488
JPN,1997,0.302
JPN,1998,-1.513
JPN,1999,-1.67
JPN,2000,0.399
JPN,2001,-1.472
JPN,2002,-2.475
JPN,2003,-1.623
JPN,2004,-0.052
JPN,2005,0.429
JPN,2006,2.255
JPN,2007,3.651
JPN,2008,2.353
JPN,2009,-4.479
JPN,2010,-0.559
JPN,2011,-1.237
JPN,2012,-0.288
JPN,2013,-0.534
JPN,2014,0.109
JPN,2015,-0.17
JPN,2016,0.1
JPN,2017,1.049
JPN,2018,1.928
JPN,2019,0.678
JPN,2020,-2.952
JPN,2021,-1.616
JPN,2022,-0.881
JPN,2023,0.233
JPN,2024,0.24
JPN,2025,0.3
JPN,2026,0.16
JPN,2027,0.121
JPN,2028,0.017
JPN,2030,-0.048
KOR,1990,0.669
KOR,1991,2.406
