ISO3,year,gdp_usd,gdp_growth,gdp_pc,gdp_pc_growth
PAK,2025,444.397220933295,3.43999403871169,1741.235003229,1.83890857466222
PAN,1990,12.8626018774156,8.09899275190619,5238.10511695823,5.82029634383651
PAN,1991,14.0741312060765,9.41900666915738,5611.10217862809,7.12083956586306
PAN,1992,15.2284464134231,8.20168002162846,5945.50906769871,5.95973622338108
PAN,1993,16.0592713589348,5.45574330405309,6140.9802684085,3.2877117583044
PAN,1994,16.5169843189199,2.85014774179326,6187.18850280906,0.752456975611526
PAN,1995,16.8063088029394,1.75167862627387,6168.45557018607,-0.302769708963723
PAN,1996,17.2786642387209,2.81058405697542,6214.83937776337,0.75195171707949
PAN,1997,18.3958144611866,6.46548950214684,6484.94620013312,4.34615934461943
PAN,1998,19.7467006099722,7.34344299697018,6823.52710203975,5.22102869411125
PAN,1999,20.5189003473569,3.91052537148777,6951.2661492993,1.87203839523644
PAN,2000,21.0773827792093,2.72179513715649,7001.59441557141,0.724015815121514
PAN,2001,21.1978652166705,0.57161953513547,6905.88359634386,-1.36698605412922
PAN,2002,21.670341724268,2.22888721467053,6924.88321011305,0.275122125997695
PAN,2003,22.5817450162325,4.2057633587933,7079.34524447171,2.23053630901797
PAN,2004,24.2803620114118,7.52208030848919,7468.22652608437,5.49318147630026
PAN,2005,26.0264305507435,7.19127885536061,7855.78819808342,5.18947397545326
PAN,2006,28.2459023876486,8.52776116408991,8369.09674943013,6.53414448561555
PAN,2007,31.6672328647336,12.1126612636778,9212.31272374134,10.0753522101251
PAN,2008,34.9015409477813,10.2134218574228,9970.02296368595,8.22497306232226
PAN,2009,35.4504675330976,1.5727861017301,9945.75707060992,-0.243388537462929
PAN,2010,37.6387336312232,6.17274256279563,10372.9834854075,4.29556454842521
PAN,2011,42.0335128875912,11.6762144535125,11380.3860797782,9.71179213567494
PAN,2012,46.2942121666466,10.1364339698412,12314.7272137483,8.21010049589025
PAN,2013,49.6513015986,7.25163962153374,12979.6160274319,5.3991355402603
PAN,2014,52.33687114418,5.40886031003007,13446.9457869104,3.60048986419085
PAN,2015,55.5174506060004,6.07712954994643,14019.4343246967,4.25738711866841
PAN,2016,58.4572701085592,5.29530709798322,14508.8166667475,3.49074242737981
PAN,2017,61.9268495214785,5.93524023013045,15108.8744624776,4.13581486011449
PAN,2018,64.4182790999085,4.023181540288,15455.9603969203,2.29723223463582
PAN,2019,66.5323987421824,3.28186296159056,15711.2425300924,1.65167434838235
PAN,2020,54.7772007312566,-17.6683814700234,12758.8797259837,-18.7914023887921
