ISO3,year,fiscal_balance_gdp,primary_fiscal_balance_gdp,net_debt_gdp,government_investment_gdp,private_sector_investment_gdp,output_gap_pct
DEU,2019,1.3272627555636,1.91808395151077,39.817091098245,2.392595732,18.94639494,0.438
DEU,2020,-4.37969467241619,-3.91627749456331,45.3288299253489,NA,NA,-3.085
DEU,2021,-3.16727950162125,-2.70319697015861,46.2158844647697,NA,NA,-0.762
DEU,2022,-1.90851232895255,-1.34845346521065,45.8936579276531,NA,NA,1.315
DEU,2023,-2.49445999464367,-1.85028227861332,45.875794857453,NA,NA,-0.217
DEU,2024,-2.66333562025147,-1.80221427253584,47.3770203997718,NA,NA,-1.324
DEU,2025,-2.52255014913338,-1.60850693889102,48.7297274597807,NA,NA,-1.382
DJI,1991,-0.862770785241413,-0.621091017086439,NA,6.552213219,1.081017159,NA
DJI,1992,-6.13344948197646,-5.70611898528138,NA,6.667171659,1.03323458,NA
DJI,1993,-7.09857146529754,-6.78399619513179,NA,7.289145613,1.014484487,NA
DJI,1994,-4.96543843146202,-4.6631943530252,NA,6.787683489,0.945728786,NA
DJI,1995,-5.13138190956658,-4.64689447080261,NA,4.909785592,1.482454594,NA
DJI,1996,-1.76604359188149,-1.27466507182631,NA,4.715541422,1.37499609,NA
DJI,1997,-2.85765120841379,-2.49427903501186,NA,5.806835295,1.530200782,NA
DJI,1998,-3.5919795431296,-3.34350837929425,NA,6.63855469,1.376562871,NA
DJI,1999,-5.19662437564406,-4.82689762141708,NA,1.860560489,0.597626755,NA
DJI,2000,-3.97423514638415,-3.64061095361919,NA,2.830247507,0.696768536,NA
DJI,2001,-3.60605649256107,-3.39727512662788,NA,3.818911694,0.970628723,NA
DJI,2002,-4.5648522323397,-4.29811005744437,NA,6.694666299,1.273163766,NA
DJI,2003,-4.13423547386731,-3.88593879340809,NA,10.55401256,3.483447378,NA
DJI,2004,-3.66853307656706,-3.42598444132151,NA,6.737672846,5.130610464,NA
DJI,2005,-1.17827916559022,-0.871417972825001,NA,8.784033166,9.136032041,NA
DJI,2006,0.261304102202237,0.580101045263395,NA,8.423537771,22.29713703,NA
DJI,2007,-1.88128368743701,-1.59115536877125,NA,11.6443942,21.4656322,NA
DJI,2008,0.622777193495612,0.871203879365559,NA,10.68867967,18.83406553,NA
DJI,2009,-3.88290784056305,-3.56600825768144,NA,14.49123135,8.227766521,NA
DJI,2010,-1.04464415929763,-0.751933830622913,27.0446954891414,8.925819565,3.494287741,NA
DJI,2011,-1.18468417354657,-0.943802702669883,25.0495400679782,8.665587701,5.501075904,NA
DJI,2012,-2.04190218073058,-1.73799308539852,25.0284067720414,8.127172212,6.367664708,NA
DJI,2013,-0.337068400579815,-0.103953411864012,22.6741139267776,9.01617704,12.71158663,NA
DJI,2014,-6.91802247411657,-6.69200170655815,24.3907097078664,8.198041917,15.73478999,NA
DJI,2015,-15.5435346399304,-15.1380715246332,38.3419676648173,9.263979006,16.8380416,NA
DJI,2016,-0.758172634079153,0.0641530690374668,43.93808977349,7.408279561,17.38421032,NA
DJI,2017,-0.211418765266207,0.847711850710939,46.1200427939528,5.768060934,17.66443352,NA
DJI,2018,-1.98298574781701,-0.734008984925207,46.4434348007709,6.940724569,15.93342285,NA
DJI,2019,-0.981867746969037,0.313505453160244,40.9151530871504,7.431769518,14.27558849,NA
