ISO3,year,fiscal_balance_gdp,primary_fiscal_balance_gdp,net_debt_gdp
SLE,2010,-3.08963348038188,-2.13099108364585,NA
SLE,2011,-2.78470923890919,-1.585796567901,NA
SLE,2012,-3.41252687808318,-2.25723684675443,NA
SLE,2013,-1.74425752119434,-0.713251539774753,NA
SLE,2014,-2.76845759241571,-2.01711768321627,NA
SLE,2015,-2.86496088944196,-2.35546552507767,NA
SLE,2016,-5.41361745828672,-4.88208227247011,NA
SLE,2017,-5.61076012497597,-4.21030738565447,NA
SLE,2018,-3.57330766214611,-1.78529075609195,NA
SLE,2019,-1.95250924617241,-0.275733658742345,NA
SLE,2020,-3.49832354028414,-1.65962261538083,NA
SLE,2021,-4.34907197838401,-2.6537113157049,NA
SLE,2022,-5.9292533257996,-4.09897481660917,NA
SLE,2023,-4.98871655121777,-2.64841356983083,NA
SLE,2024,-4.52876047982599,-1.94725524225696,NA
SLE,2025,-4.44990379583453,-0.409570289689076,NA
SLE,2026,-2.12742933281267,1.16557505967439,NA
SLE,2027,-0.430270821968734,1.73560805505623,NA
SLE,2028,0.339371182164354,1.91638395108222,NA
SLE,2029,-0.663373805041204,0.693079727357745,NA
SLE,2030,-0.925623512789112,0.272418112226345,NA
SLV,2001,-4.94507239143727,-3.31649912518024,NA
SLV,2002,-5.50401920373968,-3.56706305964846,NA
SLV,2003,-4.23017389137641,-1.91197456942441,NA
SLV,2004,-2.75962747025278,-0.322653843659767,NA
SLV,2005,-3.4725771703429,-0.900526551211051,NA
SLV,2006,-3.41639539144044,-0.573499069718022,NA
SLV,2007,-2.32393530028128,0.658356351077344,NA
SLV,2008,-3.80047469080463,-0.911535641897872,NA
SLV,2009,-6.64564320789791,-3.6293299367331,NA
SLV,2010,-4.9661983433453,-2.21271868465188,NA
SLV,2011,-4.46985432442359,-1.91658395433989,NA
SLV,2012,-3.80792998836631,-1.2996723114388,NA
SLV,2013,-4.45719513836595,-1.75708563882614,NA
SLV,2014,-4.0174882388584,-1.31591119026869,NA
SLV,2015,-3.63214132119135,-0.902456839762713,NA
SLV,2016,-3.10419975346631,-0.188744604492006,NA
SLV,2017,-2.52822449406886,0.673720805198247,NA
SLV,2018,-2.70594542453456,0.898971401779727,NA
SLV,2019,-3.07036943759433,0.616491940628984,NA
SLV,2020,-8.1786255706993,-3.83934468592579,NA
SLV,2021,-5.53046225695992,-1.04177046783884,NA
SLV,2022,-2.68382013137575,1.99613976635993,NA
SLV,2023,-4.68644717091384,-0.12368931780354,NA
SLV,2024,-4.54953960590304,0.0333734909989462,NA
SLV,2025,-2.75649852990517,2.04957829234714,NA
SLV,2026,-1.97638725550999,2.91949806691494,NA
SLV,2027,-1.67780940177768,3.72993403747715,NA
SLV,2028,-2.13707809625077,3.71890912368599,NA
SLV,2029,-1.91400658308509,3.72865724066159,NA
SLV,2030,-1.59972198100718,3.72517217500877,NA
SLV,1991,-2.30463245276536,0.625490121173114,NA
SLV,1992,-4.28881422103977,-1.72921054676998,NA
SLV,1993,-1.41647205478192,1.01968162899796,NA
SLV,1994,-0.943044881227391,1.1073810646172,NA
SLV,1995,-0.176867164689334,1.57622492840691,NA
SLV,1996,-2.70239257608759,-0.800411419606272,NA
SLV,1997,-1.97237057204714,-0.28243806564655,NA
SLV,1998,-2.93992595552394,-1.31740282919755,NA
SLV,1999,-3.08245430110624,-1.54144869946359,NA
SLV,2000,-3.4455020097701,-1.7210963493207,NA
SMR,2005,3.58309355607475,3.78277194949614,NA
SMR,2006,1.5067420875377,1.70115196172158,NA
SMR,2007,1.82531579760797,2.01981896419619,NA
SMR,2008,0.176208427901506,0.387105655572905,NA
SMR,2009,-2.46057912274813,-2.3176806877034,NA
SMR,2010,-2.23840921233714,-2.15521023758829,NA
SMR,2011,-4.0494553715684,-3.95599753480206,NA
SMR,2012,-7.07925860066367,-6.99836906456986,NA
SMR,2013,-7.74070279811433,-7.64336595839281,NA
SMR,2014,1.06445467583992,1.29242582839821,NA
SMR,2015,-3.32375245281602,-3.07455773102633,NA
SMR,2016,-0.185220060939853,0.144510881007223,NA
SMR,2017,-3.48601901990003,-3.19351502284996,NA
SMR,2018,-1.5557997915733,-1.23174125041986,NA
SMR,2019,-0.108012670051286,0.237072678412355,NA
SMR,2020,-37.592047283372,-36.6404949236097,NA
SMR,2021,-16.4177826031089,-14.5098032855012,NA
SMR,2022,0.423721168829509,1.71519801326052,NA
SMR,2023,-0.724413347162432,1.51423136900193,NA
SMR,2024,-0.531246867564641,1.49585301481852,NA
SMR,2025,-1.67660746894728,0.41889098368355,NA
SMR,2026,-1.20555852245561,0.722603102840566,NA
SMR,2027,-1.14788371192369,0.774272872497145,NA
SMR,2028,-0.44446221706513,1.40424013800463,NA
SMR,2029,-0.402241354631424,1.42723326009296,NA
SMR,2030,-0.369774388254965,1.45097857863827,NA
SMR,2002,NA,NA,NA
SMR,2003,NA,NA,NA
SMR,2004,NA,NA,NA
SOM,2014,-0.0555392637427445,-0.0555392637427443,NA
SOM,2015,0.241729480039176,0.241729480039176,NA
SOM,2016,0.460817561352892,0.460817561352892,NA
SOM,2017,0.374195834604256,0.374195834604256,NA
SOM,2018,0.030642423472628,0.030642423472628,NA
SOM,2019,0.27555647602773,0.275556476027729,NA
SOM,2020,0.286550654912286,0.307058699882151,NA
SOM,2021,-0.882060723949536,-0.872076386644601,NA
SOM,2022,0.0235165310125061,0.0312324080094681,NA
SOM,2023,0.0477907335658774,0.0699057020738396,NA
