ISO3,year,CPI,infl,cbrate,USDfx,REER,HPI,unemp,inv_GDP,gen_govexp_GDP,gen_govrev_GDP,govdebt_GDP
FSM,2001,72.78437805175781,1.319000005722046,NA,1,NA,NA,NA,32.73358154296875,64.18699645996094,58.7239990234375,23.784000396728516
FSM,2002,72.70326232910156,-0.16200000047683716,NA,1,NA,NA,NA,31.973934173583984,59.553001403808594,66.75700378417969,24.304000854492188
FSM,2003,72.79534149169922,-0.24400000274181366,NA,1,NA,NA,NA,32.599666595458984,67.52899932861328,70.14600372314453,24.93000030517578
FSM,2004,74.452667236328125,1.7480000257492065,NA,1,NA,NA,NA,34.09263229370117,71.91100311279297,56.35900115966797,25.73900032043457
FSM,2005,77.62263488769531,4.084000110626221,NA,1,NA,NA,NA,33.34318542480469,60.2130012512207,54.58100128173828,25.003999710083008
FSM,2006,81.2222900390625,4.396999835968018,NA,1,NA,NA,NA,33.384464263916016,61.17100143432617,55.72600173950195,25.40399932861328
FSM,2007,83.90777587890625,3.6410000324249268,NA,1,NA,NA,NA,32.2335090637207,60.14099884033203,56.59299850463867,26.03700065612793
FSM,2008,90.97593688964844,6.551000118255615,NA,1,NA,NA,NA,34.10774612426758,59.801998138427734,58.24800109863281,26.608976364135742
FSM,2009,96.792572021484375,7.714000225067139,NA,1,NA,NA,NA,34.610107421875,64.34600067138672,66.22699737548828,25.441621780395508
FSM,2010,100,3.7009999752044678,NA,1,NA,NA,16.166040420532227,33.22380828857422,68.44599914550781,68.91100311279297,24.15488052368164
FSM,2011,105.08259582519531,4.056000232696533,NA,1,NA,NA,NA,33.02315902709961,65.90299987792969,65.322998046875,25.201961517333984
FSM,2012,110.35617065429688,6.2769999504089355,NA,1,NA,NA,NA,31.787429809570312,65.81800079345703,66.71199798583984,27.115171432495117
FSM,2013,112.28997039794922,2.1540000438690186,NA,1,NA,NA,NA,31.97263526916504,60.202999114990234,63.09700012207031,26.32302474975586
FSM,2014,113.02017211914062,0.6779999732971191,NA,1,NA,NA,8.859999656677246,29.820369720458984,54.7599983215332,65.99199676513672,23.389734268188477
FSM,2015,112.68324279785156,-0.15800000727176666,NA,1,NA,NA,NA,31.700008392333984,56.430999755859375,66.91300201416016,29.943143844604492
FSM,2016,111.51419067382812,-1.0360970497131348,NA,1,NA,NA,NA,31.164337158203125,62.65299987792969,70.02300262451172,25.959396362304688
FSM,2017,112.16348266601562,0.09799999743700027,NA,1,NA,NA,NA,30.89490509033203,65.01399993896484,79.490997314453125,31.597219467163086
FSM,2018,113.84414672851562,1.5,NA,1,NA,NA,NA,31.253084182739258,56.542999267578125,81.21900177001953,23.697965621948242
FSM,2019,116.03433227539062,1.8630000352859497,NA,1,NA,NA,NA,31.104108810424805,57.268001556396484,76.80699920654297,24.151443481445312
FSM,2020,116.6778564453125,0.48399999737739563,NA,1,NA,NA,NA,31.08403205871582,60.58300018310547,67.00599670410156,27.79556655883789
FSM,2021,120.40137481689453,2.0850000381469727,NA,1,NA,NA,NA,31.147075653076172,66.81146240234375,71.27290344238281,17.027437210083008
FSM,2022,126.91358184814453,5.408743858337402,NA,1,NA,NA,NA,31.111738204956055,59.249881744384766,67.04777526855469,14.572968482971191
FSM,2023,141.95590209960938,6.210000038146973,NA,1,NA,NA,NA,31.114282608032227,57.85732650756836,59.42829513549805,12.422242164611816
FSM,2024,149.6763153076172,5.438602447509766,NA,1,NA,NA,NA,NA,56.96799850463867,64.67400360107422,10.923999786376953
FSM,2025,157.11019897460938,4.966639995574951,NA,1,NA,NA,NA,NA,61.40700149536133,67.2959976196289,9.175999641418457
MDA,1990,NA,NA,NA,6.66000007186085e-4,354.4864501953125,NA,NA,28.6025333404541,NA,NA,NA
MDA,1991,0.010014185681939125,NA,NA,0.0017000155057758093,342.76654052734375,NA,NA,29.5462589263916,NA,NA,NA
MDA,1992,0.11284247785806656,1243,NA,0.4145037829875946,40.016136169433594,NA,NA,59.81800079345703,NA,NA,NA
MDA,1993,1.9336731433868408,788.50299072265625,NA,3.640000104904175,19.87868881225586,NA,2.8989999294281006,54.222999572753906,NA,NA,NA
