country_iso3,year,index_gdp_weighted
PHL,2015,0.02532375756660395
PHL,2016,0.02812874151807434
PHL,2017,0.030127086623819688
PHL,2018,0.02495224106779127
PHL,2019,0.022445105061530576
PHL,2020,0.025775780271319826
PHL,2021,0.0332794170776223
PHL,2022,0.032342905868638305
PHL,2023,0.027534918804512094
PLW,1995,9.753176572034625e-4
PLW,1998,-0.004887401992790762
PLW,2000,-0.004853082627382458
PLW,2002,-0.004799995174716861
PLW,2005,-0.004956657071425605
PLW,2006,-0.005118444289564838
PLW,2007,-0.005046368064686035
PLW,2008,-0.005125777666244433
PLW,2009,-0.005057802888408231
PLW,2010,-0.005187289842710118
PLW,2012,-0.0051995650117599435
PLW,2014,-0.005180295359150206
PLW,2015,0.0015274740740139157
PLW,2016,0.0018476423095921055
PLW,2017,0.0019131817964493619
PLW,2018,0.0013891618460078628
PLW,2019,-0.005090519354251335
PLW,2021,0.0017802412537703896
PLW,2022,-0.005267006585280506
PNG,1995,-0.10705847401776625
PNG,1996,-0.09157164722890339
PNG,1997,-0.09544205740582798
PNG,1998,-0.12221645071690206
PNG,1999,-0.10461628267497626
PNG,2000,-0.07426145958315573
PNG,2001,-0.08415856748287451
PNG,2002,-0.06232773551965925
PNG,2003,-0.0472696758272985
PNG,2004,-0.027944714125114657
PNG,2005,-0.0014509438820547638
PNG,2006,0.026953455995127943
PNG,2007,0.04563092544602517
PNG,2008,0.07764739210031772
PNG,2009,0.045087839964738856
PNG,2010,0.07834075356972951
PNG,2011,0.10283428079283202
PNG,2012,0.10073112346336388
PNG,2013,0.0889543533514089
PNG,2014,0.08147023486164634
PNG,2015,0.03318651632889038
PNG,2016,0.03103544773676123
PNG,2017,0.04242186964007492
PNG,2018,0.05272798482328329
PNG,2019,0.04887035161157396
PNG,2020,0.0333368052742456
PNG,2021,0.07156626706262789
PNG,2022,0.09177487042329056
PNG,2023,0.07676712300473419
POL,1995,0.009650640154647365
POL,1996,0.008375977871509043
POL,1997,0.007996750468671678
POL,1998,0.00424379860784489
POL,1999,0.0025182677195893367
POL,2000,0.0044970532109250535
POL,2001,0.006239094499881073
POL,2002,0.003838332464239764
POL,2003,0.004820363896137858
POL,2004,0.015317902152375036
POL,2005,0.0159659738567611
POL,2006,0.021104204980508592
POL,2007,0.024685928388896695
POL,2008,0.03149547287610224
POL,2009,0.022174579644866185
POL,2010,0.028720433850787784
POL,2011,0.031188306316234836
POL,2012,0.027772923719256753
POL,2013,0.02504140400220666
POL,2014,0.02248547043964781
POL,2015,0.020767404947175324
POL,2016,0.02138574745905617
POL,2017,0.025728116951054432
POL,2018,0.027476453727589868
POL,2019,0.023705146646999742
POL,2020,0.021774208907103437
POL,2021,0.03331643590646941
POL,2022,0.04191678075335844
POL,2023,0.03329434837419779
PRK,1995,0.0069194033284684115
PRK,1996,0.00651173675649718
PRK,1997,0.0029089408325352136
PRK,1998,0.005639804220975447
PRK,1999,0.0013177574254667154
PRK,2000,0.005281028005998936
PRK,2001,0.006449355400530481
PRK,2002,0.0020643591789794385
PRK,2003,0.005859633275853008
PRK,2004,0.005743395102494105
PRK,2005,0.010866693485549906
PRK,2006,0.009494895794214139
PRK,2007,0.01682564775049743
PRK,2008,0.017970216358677123
PRK,2009,0.014628017222932832
PRK,2010,0.013514302299081722
PRK,2011,0.017873506816663776
PRK,2012,0.016339303024263542
PRK,2013,0.015238063223834149
PRK,2014,0.010749099235062391
PRK,2015,0.014782617089047398
PRK,2016,0.015643104124922712
PRK,2017,-0.0020087751872106714
PRK,2018,-0.031891813926746
PRK,2019,-0.029984883856850483
PRK,2020,-0.03025416135751875
PRK,2021,-0.020567587339265656
PRK,2022,-0.038678516165663056
PRK,2023,-0.05672753402246225
PRT,1995,-0.002287572087934149
PRT,1996,-0.0021865832037954126
PRT,1997,-0.0022367845187714654
